Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,-2.969124933,641.0953706,548.7784994,0.005530933,0.034450588
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,-3.233618536,-121.25359,-72.809561,-0.065706572,-0.034817677
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,-3.350545382,-260.6053388,-101.2167316,0.007171891,-0.022949189
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,-3.144712621,-445.8707129,-7817.606192,0.034541398,-0.040228772
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,-3.02020273,-1388.57538,-553.5097254,-0.009348634,-0.030269529
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,-3.043789297,-445.8707129,-161.2030485,-0.020221892,-0.055105462
2016-02-03,95,96.839996,94.080002,96.349998,45964300,-2.878408353,-2604.52406,-1443.066487,0.019792495,0.031363734
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,-2.696090994,3903.393057,-7688.826157,0.002594707,0.026676609
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,-2.728337121,-89.05389337,-147.7083524,-0.026708085,-0.034107244
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,-2.643534261,-171.1059594,-358.7061623,0.010529728,-0.014725687
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,-2.548563289,-140.59996,-351.3158186,-0.000210546,0.005397915
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,-2.502548352,827.0595612,-184.2879042,-0.007579756,-0.021587971
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,-2.48344778,-1630.773412,-126.222261,-0.006046462,-0.030020715
2016-02-12,94.190002,94.5,93.010002,93.989998,40351400,-2.417047562,-101.4926278,-181.3458899,0.003094995,-0.00031907
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,-2.126083806,2880.967052,263.4361141,0.0281945,0.017156057
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,-1.755828877,206.8682967,178.6079442,0.015314611,0.03295089
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,-1.594109809,-6289.18063,880.911072,-0.01895639,0.021109633
2016-02-19,96,96.760002,95.800003,96.040001,35374200,-1.466790279,-966.0785683,2041.230307,-0.002285487,0.024973363
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,-1.283314724,218.5317133,371.6228027,0.008746314,0.030747942
2016-02-23,96.400002,96.5,94.550003,94.690002,31942600,-1.299641857,-1643.750625,-213.496701,-0.022605234,-0.020177949
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,-1.185144723,600.9007207,1411.766708,0.014890653,-0.020587087
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,-1.029283176,294.3769992,430.7539331,0.006867888,0.005194265
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,-0.883473735,233.0214233,373.8620216,0.001550248,0.009058757
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,-0.776717509,266.2960129,540.5260599,-0.002270168,-0.001961138
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,-0.377900563,215.4241388,141.9145539,0.03971452,0.061674906
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,-0.043580647,270.7225902,139.4170494,0.002188411,0.048387119
2016-03-03,100.580002,101.709999,100.449997,101.5,36955700,0.278676617,150.1908207,131.5772851,0.007444169,0.048987163
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,0.648437577,134.5767095,121.2010035,0.014876867,0.062944977
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,0.839806642,171.1421189,173.9420369,-0.011066877,0.053573285
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,0.913160357,134.7004107,286.0393748,-0.008245842,0.00497364
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,0.967404638,143.8247571,271.560381,0.000890864,0.003672486
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,1.002867369,149.8867799,262.9503683,0.000494413,-0.003251251
2016-03-11,102.239998,102.279999,101.5,102.260002,27408200,1.106174758,141.1216042,169.716467,0.010773985,-0.007280846
